Country Name,Country Code,Series Name,Series Code,Series_type,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
China,CHN,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.L1.CG.CD,Central Gov,4.49873E+11,4.72913E+11,5.47823E+11,6.92217E+11,6.68823E+11,6.76326E+11,5.87827E+11,..,5.41385E+11,5.85334E+11,6.58516E+11,6.49056E+11
China,CHN,"Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, % of GDP",DP.DOD.DSDS.CR.CG.Z1,Central Gov,0.488500291,0.279023197,0.49885773,0.907384718,0.54669171,0.54105281,0.949163432,..,0.660238226,0.54582341,0.79025728,1.356198984
China,CHN,"Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, National Currency",DP.DOD.DSDS.CR.CG,Central Gov,5.166E+11,3.047E+11,5.582E+11,1.0428E+12,6.39838E+11,6.38431E+11,1.1358E+12,..,8.047E+11,6.739E+11,9.852E+11,1.7096E+12
China,CHN,"Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, US$",DP.DOD.DSDS.CR.CG.CD,Central Gov,78746397030,47175215588,86363213606,1.63695E+11,1.00878E+11,95362190282,1.60067E+11,..,1.17158E+11,92819855929,1.34891E+11,2.39319E+11
China,CHN,"Gross PSD, Central Gov.-D1, All maturities, Debt securities + loans, Nominal Value, % of GDP",DP.DOD.DLD1.CR.CG.Z1,Central Gov,19.85244001,19.61962554,19.81495613,20.24795758,19.85403388,20.26234748,20.90215318,..,21.46418308,21.53058312,22.67810588,23.82431327
China,CHN,"Gross PSD, Central Gov.-D1, All maturities, Debt securities + loans, Nominal Value, US$",DP.DOD.DLD1.CR.CG.CD,Central Gov,3.20022E+12,3.31714E+12,3.4304E+12,3.65278E+12,3.66355E+12,3.5713E+12,3.52493E+12,..,3.80878E+12,3.66138E+12,3.87097E+12,4.20411E+12
China,CHN,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, % of GDP",DP.DOD.DLD2.CR.CG.Z1,Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, US$",DP.DOD.DLD2.CR.CG.CD,Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Central Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, % of GDP",DP.DOD.DLD2A.CR.CG.Z1,Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Central Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, US$",DP.DOD.DLD2A.CR.CG.CD,Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Central Gov.-D3, All maturities, D2+other accounts payable, Nominal Value, % of GDP",DP.DOD.DLD3.CR.CG.Z1,Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Central Gov.-D3, All maturities, D2+other accounts payable, Nominal Value, US$",DP.DOD.DLD3.CR.CG.CD,Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Central Gov.-D4, All maturities, D3+insurance, pensions, and standardized guarantees, Nominal Value, % of GDP",DP.DOD.DLD4.CR.CG.Z1,Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Central Gov.-D4, All maturities, D3+insurance, pensions, and standardized guarantees, Nominal Value, US$",DP.DOD.DLD4.CR.CG.CD,Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, % of GDP",DP.DOD.DLDS.CR.MV.FC.Z1,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, National Currency",DP.DOD.DLDS.CR.MV.FC,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, US$",DP.DOD.DLDS.CR.MV.FC.CD,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.FC.Z1,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.FC,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.FC.CD,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.M1.FC.Z1,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.M1.FC,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.M1.FC.CD,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.L1.FC.Z1,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.L1.FC,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.L1.FC.CD,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., Short-term, Debt securities, Nominal Value, % of GDP",DP.DOD.DSDS.CR.FC.Z1,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., Short-term, Debt securities, Nominal Value, National Currency",DP.DOD.DSDS.CR.FC,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Financial Public Corp., Short-term, Debt securities, Nominal Value, US$",DP.DOD.DSDS.CR.FC.CD,Financial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., All maturities, Debt Securities, Market value, % of GDP",DP.DOD.DLDS.CR.MV.GG.Z1,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., All maturities, Debt Securities, Market value, National Currency",DP.DOD.DLDS.CR.MV.GG,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., All maturities, Debt Securities, Market value, US$",DP.DOD.DLDS.CR.MV.GG.CD,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., All maturities, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.GG.Z1,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., All maturities, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.GG,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., All maturities, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.GG.CD,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.M1.GG.Z1,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.M1.GG,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.M1.GG.CD,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.L1.GG.Z1,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.L1.GG,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.L1.GG.CD,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., Short-term, Debt securities, Nominal Value, % of GDP",DP.DOD.DSDS.CR.GG.Z1,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., Short-term, Debt securities, Nominal Value, National Currency",DP.DOD.DSDS.CR.GG,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov., Short-term, Debt securities, Nominal Value, US$",DP.DOD.DSDS.CR.GG.CD,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov.-D1, All maturities, Debt securities + loans, Nominal Value, % of GDP",DP.DOD.DLD1.CR.GG.Z1,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov.-D1, All maturities, Debt securities + loans, Nominal Value, US$",DP.DOD.DLD1.CR.GG.CD,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, % of GDP",DP.DOD.DLD2.CR.GG.Z1,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, US$",DP.DOD.DLD2.CR.GG.CD,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, % of GDP",DP.DOD.DLD2A.CR.GG.Z1,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, US$",DP.DOD.DLD2A.CR.GG.CD,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov.-D3, All maturities, D2+other accounts payable, Nominal Value, % of GDP",DP.DOD.DLD3.CR.GG.Z1,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov.-D3, All maturities, D2+other accounts payable, Nominal Value, US$",DP.DOD.DLD3.CR.GG.CD,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
